,titles,prices,corpus,cosine_vals,ebay_url,image_url,price_diff,clean_url
44,Patagonia Down With It Parka Womens Hoody Puffer Winter Coat Sz S,99.0,patagonia parka women hoodi puffer winter coat sz,0.1908740661302035,['https://www.ebay.com/itm/Patagonia-Down-Parka-Womens-Hoody-Puffer-Winter-Coat-Sz-S-/114070981674'],['https://thumbs3.ebaystatic.com/m/mbM-0vyjg9cCDL84GDKO4OQ/140.jpg'],100.0,https://www.ebay.com/itm/Patagonia-Down-Parka-Womens-Hoody-Puffer-Winter-Coat-Sz-S-/114070981674
84,Patagonia Womens Los Gatos Fleece Vest Gray Size Small,47.0,patagonia women lo gato fleec vest gray size small,0.17856621555757476,['https://www.ebay.com/itm/Patagonia-Womens-Los-Gatos-Fleece-Vest-Gray-Size-Small-/164023850671'],['https://thumbs4.ebaystatic.com/m/mNhkuUoGkPmOhRvGXsnsihw/140.jpg'],152.0,https://www.ebay.com/itm/Patagonia-Womens-Los-Gatos-Fleece-Vest-Gray-Size-Small-/164023850671
83,"Patagonia Womens Large Diamond Capra Fleece Hoodie/hoody, Navy",66.0,"patagonia women larg diamond capra fleec hoodie/hoody, navi",0.17856621555757476,['https://www.ebay.com/itm/Patagonia-Womens-Large-Diamond-Capra-Fleece-Hoodie-hoody-Navy-/124057589728'],['https://thumbs1.ebaystatic.com/m/mxAMNdsQuLJfEIry91Y5DPA/140.jpg'],133.0,https://www.ebay.com/itm/Patagonia-Womens-Large-Diamond-Capra-Fleece-Hoodie-hoody-Navy-/124057589728
81,$139 NWT Patagonia W's Better Sweater Jacket All Colors Sz XS S M L ,79.99,$139 nwt patagonia w' better sweater jacket color sz xs l,0.17856621555757476,['https://www.ebay.com/itm/139-NWT-Patagonia-Ws-Better-Sweater-Jacket-All-Colors-Sz-XS-S-M-L-/193187610288?var=0'],['https://thumbs1.ebaystatic.com/pict/04040_0.jpg'],119.01,https://www.ebay.com/itm/139-NWT-Patagonia-Ws-Better-Sweater-Jacket-All-Colors-Sz-XS-S-M-L-/193187610288?var=0
1,Patagonia Women’s Purple Re-Tool Fleece Vest Size Small,44.99,patagonia women’ purpl re-tool fleec vest size small,0.17856621555757476,['https://www.ebay.com/itm/Patagonia-Women-s-Purple-Re-Tool-Fleece-Vest-Size-Small-/184140960727'],['https://thumbs4.ebaystatic.com/m/mykKKIVn6rGsECZj7hK8nMw/140.jpg'],154.01,https://www.ebay.com/itm/Patagonia-Women-s-Purple-Re-Tool-Fleece-Vest-Size-Small-/184140960727
46,Patagonia Organic Cotton Sychilla Quilted Women Snap T Size Xs,98.0,patagonia organ cotton sychilla quilt women snap size xs,0.17856621555757476,['https://www.ebay.com/itm/Patagonia-Organic-Cotton-Sychilla-Quilted-Women-Snap-T-Size-Xs-/174159378945'],['https://thumbs2.ebaystatic.com/m/mSt54KLHTDSv82qdIUOeH4A/140.jpg'],101.0,https://www.ebay.com/itm/Patagonia-Organic-Cotton-Sychilla-Quilted-Women-Snap-T-Size-Xs-/174159378945
87,Patagonia Retool Fleece Plush Snap T Womens Large Purple Winter Outdoors,62.95,patagonia retool fleec plush snap women larg purpl winter outdoor,0.16836842163679844,['https://www.ebay.com/itm/Patagonia-Retool-Fleece-Plush-Snap-T-Womens-Large-Purple-Winter-Outdoors-/254484648639'],['https://thumbs4.ebaystatic.com/m/my0k9zfGrTEUomXewqkNXQg/140.jpg'],136.05,https://www.ebay.com/itm/Patagonia-Retool-Fleece-Plush-Snap-T-Womens-Large-Purple-Winter-Outdoors-/254484648639
52,Women's Patagonia Better Sweater Gray Full Zip Fleece Vest-Size S,50.0,women' patagonia better sweater gray full zip fleec vest-siz,0.16836842163679844,['https://www.ebay.com/itm/Womens-Patagonia-Better-Sweater-Gray-Full-Zip-Fleece-Vest-Size-S-/133312024762'],['https://thumbs3.ebaystatic.com/m/maAVFcHFbOYsb0w4x87mtHA/140.jpg'],149.0,https://www.ebay.com/itm/Womens-Patagonia-Better-Sweater-Gray-Full-Zip-Fleece-Vest-Size-S-/133312024762
40,Womens PATAGONIA Grey Los Gatos Full Zip Fleece Vest Small,48.88,women patagonia grey lo gato full zip fleec vest small,0.16836842163679844,['https://www.ebay.com/itm/Womens-PATAGONIA-Grey-Los-Gatos-Full-Zip-Fleece-Vest-Small-/153801366700'],['https://thumbs1.ebaystatic.com/m/mTcTVbymLePVe_qYa_oslig/140.jpg'],150.12,https://www.ebay.com/itm/Womens-PATAGONIA-Grey-Los-Gatos-Full-Zip-Fleece-Vest-Small-/153801366700
69,Patagonia Woman's Goose Down Quilted Puffer Zip Up Grey Purple Jacket Size M ,53.0,patagonia woman' goos quilt puffer zip grey purpl jacket size,0.16836842163679844,['https://www.ebay.com/itm/Patagonia-Womans-Goose-Down-Quilted-Puffer-Zip-Up-Grey-Purple-Jacket-Size-M-/164039363723'],['https://thumbs4.ebaystatic.com/m/mEtafon-qGNzDioI1nVcmpg/140.jpg'],146.0,https://www.ebay.com/itm/Patagonia-Womans-Goose-Down-Quilted-Puffer-Zip-Up-Grey-Purple-Jacket-Size-M-/164039363723
45,Patagonia Women’s Better Sweater 1/4 Snap Button Pullover Size XL Black,40.0,patagonia women’ better sweater 1/4 snap button pullov size xl black,0.16836842163679844,['https://www.ebay.com/itm/Patagonia-Women-s-Better-Sweater-1-4-Snap-Button-Pullover-Size-XL-Black-/223841783375'],['https://thumbs4.ebaystatic.com/m/mZL1rz4iERgtG4-O5CR3Ngw/140.jpg'],159.0,https://www.ebay.com/itm/Patagonia-Women-s-Better-Sweater-1-4-Snap-Button-Pullover-Size-XL-Black-/223841783375
42,Patagonia Women's BETTER SWEATER VEST Birch White Gray Size SMALL,50.0,patagonia women' better sweater vest birch white gray size small,0.16836842163679844,['https://www.ebay.com/itm/Patagonia-Womens-BETTER-SWEATER-VEST-Birch-White-Gray-Size-SMALL-/153800426607'],['https://thumbs4.ebaystatic.com/m/maYDUCqle1dtVDtxoIV34Rw/140.jpg'],149.0,https://www.ebay.com/itm/Patagonia-Womens-BETTER-SWEATER-VEST-Birch-White-Gray-Size-SMALL-/153800426607
88,"Womens Patagonia Light Weight Synchilla Snap-T Fleece Pullover Aztec, Size L",62.79,"women patagonia light weight synchilla snap-t fleec pullov aztec, size l",0.16836842163679844,['https://www.ebay.com/itm/Womens-Patagonia-Light-Weight-Synchilla-Snap-T-Fleece-Pullover-Aztec-Size-L-/333481618468'],['https://thumbs1.ebaystatic.com/m/mISf6nPAdHrFZX8feEhELnA/140.jpg'],136.21,https://www.ebay.com/itm/Womens-Patagonia-Light-Weight-Synchilla-Snap-T-Fleece-Pullover-Aztec-Size-L-/333481618468
62,Patagonia Women's Half-Zip Lightweight Polyester Thermal Base Layer L/S - Medium,26.98,patagonia women' half-zip lightweight polyest thermal base layer l/ - medium,0.16836842163679844,['https://www.ebay.com/itm/Patagonia-Womens-Half-Zip-Lightweight-Polyester-Thermal-Base-Layer-L-S-Medium-/283742960337'],['https://thumbs2.ebaystatic.com/m/mJYJ0ikzUBHBb9ysqvJOMUQ/140.jpg'],172.02,https://www.ebay.com/itm/Patagonia-Womens-Half-Zip-Lightweight-Polyester-Thermal-Base-Layer-L-S-Medium-/283742960337
